reset,resolution,x,y,z
1fb,5,29180,37381,31787
1fa,5,45819,61444,58667
1fb,5,41980,28420,57387
1fb,5,27644,50181,32043
1fb,5,19964,56837,40235
1fb,5,10236,60421,32555
1fb,5,8188,65029,29227
1fb,5,21244,48133,40747
1fb,5,20732,60933,42283
1fb,5,20988,52997,37419
1fb,5,25084,64773,35883
1fb,5,44285,16645,56107
1fb,5,50685,19205,61995
1fb,5,42237,21509,57387
1fb,5,45053,26629,61995
1fb,5,52477,23045,64555
1fb,5,46589,29958,811
2fb,5,55805,40198,6699
2fb,5,54013,30725,63019
2fb,5,49917,20485,63531
2fb,5,46333,20229,60203
2fb,5,57341,23557,62507
2fb,5,49405,34822,2091
2fb,5,41981,16901,61483
2fb,5,39677,17157,58923
2fb,5,43517,17157,58155
2fb,5,48381,21509,56619
2fb,5,49405,18437,57131
2fb,5,42237,22021,60971
2fb,5,48381,33285,58923
2fb,5,42237,23813,65067
2fb,5,41469,26373,64299
2fb,5,46845,20485,57131
2fb,5,43005,16901,59947
2fb,5,42749,13573,57131
2fb,5,20476,62981,44587
2fb,5,4860,50437,26155
3fb,5,1532,44037,24875
3fb,5,2300,63493,32811
3fb,5,4605,2053,33067
3fb,5,508,44037,19243
3fb,5,20732,55813,31787
3fb,5,20988,48389,32811
3fb,5,19197,261,29995
3fb,5,22013,6405,34603
3fb,5,18685,2309,35115
3fb,5,13308,62213,34603
3fb,5,26364,62213,35371
3fb,5,15356,65029,35627
3fb,5,18173,5125,38699
3fb,5,25853,5893,45611
3fb,5,39676,56325,46635
3fb,5,36092,54789,41515
3fb,5,46844,46853,43051
3fa,5,22525,20229,48427
3fa,5,62717,9477,31787
3fb,5,61949,13061,39467
3fb,5,8188,47365,26411
4fb,5,17660,48645,25899
4fb,5,32764,49413,37163
4fb,5,49404,51973,40491
4fb,5,33788,64005,37931
4fb,5,28925,10501,38699
4fb,5,35069,15109,44843
4fb,5,27389,1541,40235
4fb,5,37884,55813,49707
4fb,5,37884,50693,47403
4fb,5,38396,60933,46891
4fb,5,47100,55045,45867
4fb,5,46844,63237,51499
4fb,5,49148,63749,41515
4fb,5,41212,54533,41771
4fb,5,36092,48389,36907
4fb,5,41980,51973,41771
4fb,5,38652,54021,38955
4fb,5,39420,47621,34859
4fb,5,41724,51973,37163
4fb,5,40188,49157,35115
4fb,5,49916,48389,37419
5fb,5,45308,46341,42795
5fb,5,52220,58373,43307
5fb,5,50428,63237,42283
5fb,5,37884,46597,35371
5fb,5,41212,54277,43819
5fb,5,51452,63237,40747
5fb,5,43004,48389,42795
5fb,5,40700,47365,38699
5fb,5,41980,52741,44587
5fb,5,37116,48901,41259
5fb,5,47868,54277,40235
5fb,5,50428,51461,49451
5fb,5,44028,56837,37931
5fb,5,47356,52741,32299
5fb,5,51709,1541,41259
5fb,5,60157,10245,56619
5fb,5,58877,9221,56619
5fb,5,53501,10757,52267
5fb,5,49917,1797,53803
5fb,5,50173,8965,48427
6fb,5,49917,3333,43563
6fb,5,52988,59909,44075
6fb,5,56572,58885,42795
6fb,5,54524,58629,46891
6fb,5,59644,54021,44331
6fb,5,56828,46341,39979
6fb,5,56828,57349,49707
6fb,5,61436,48645,50731
6fb,5,62972,52485,49451
6fc,5,59900,63237,52011
6fb,5,2044,58373,53291
6fb,5,58620,62981,47403
6fb,5,54268,50437,44843
6fb,5,57596,46853,47147
6fc,5,55804,56837,47915
6fb,5,1788,64005,51243
6fb,5,55292,52997,44843
6fb,5,63484,41733,47659
6fb,5,63996,50949,52523
6fb,5,52732,43269,37163
6fc,5,60156,49669,43819
7fc,5,3324,53509,44075
7fc,5,9725,5,53035
7fc,5,3068,49669,47915
7fc,5,7164,55557,51499
7fb,5,5116,57605,49963
7fc,5,65532,51973,43563
7fc,5,2044,49413,49451
7fc,5,4092,52741,45355
7fc,5,11772,50181,46123
7fc,5,5628,53253,44075
7fc,5,8700,39173,51243
7fc,5,1532,57349,48683
7fc,5,2556,41477,47915
7fc,5,7932,54789,50987
7fc,5,3068,44805,45355
7fc,5,10492,42245,45099
7fc,5,8188,40197,41515
7fc,5,3580,38405,41515
7fc,5,5884,48901,44075
8fb,5,3580,44293,44843
8fb,5,57084,42757,39979
8fc,5,62716,60933,43819
8fc,5,1276,62725,50219
8fb,5,2813,773,56875
8fc,5,65020,61701,53035
8fc,5,12028,64517,53035
8fc,5,13052,55813,58155
8fc,5,15100,55045,47659
8fc,5,3580,35333,36395
8fc,5,9212,36613,39723
8fc,5,6908,26629,38955
8fc,5,19708,37893,45355
8fc,5,20220,46341,45099
8fc,5,14844,49669,43051
8fc,5,15612,54021,46379
8fc,5,32764,42501,46123
8fc,5,27900,57349,58411
8fc,5,37116,47621,41771
8fc,5,21244,51973,44331
8fc,5,39676,48645,44331
9fc,5,28924,59653,48683
9fc,5,21244,54533,45355
9fc,5,16892,60677,49963
9fc,5,16124,50949,48427
9fc,5,17148,43013,50475
9fc,5,19196,43013,49707
9fc,5,17660,44293,45867
9fc,5,21500,58629,37675
9fc,5,24316,45573,45099
9fc,5,46076,46597,49451
9fc,5,42492,39173,36907
9fb,5,24828,37893,29739
9fb,5,45052,27909,21547
9fb,5,38908,28933,18475
9fc,5,42748,32517,21291
9fc,5,10236,57093,36651
9fc,5,33532,52485,46123
9fc,5,47612,44549,44587
9fc,5,32252,47365,43819
9fc,5,49148,27653,27947
afc,5,46588,41733,39467
afc,5,35324,61445,44587
afc,5,21501,2053,48939
afc,5,21245,7429,53803
afc,5,8957,5,46891
afc,5,13053,3589,49963
afc,5,32253,261,50987
afc,5,29436,59397,55083
afc,5,18685,2053,51755
afc,5,21245,3333,49451
afc,5,29949,3845,49963
afc,5,26877,5381,53803
afc,5,43516,63749,57387
afc,5,41212,55813,54571
afd,5,34556,64517,50219
afc,5,4605,21253,55851
afc,5,61181,7686,43
afc,5,46332,41477,42283
afd,5,25085,6917,56107
afb,5,2301,21765,63531
afa,5,51964,26117,23851
bfb,5,65532,17668,41259
bfa,5,4092,8964,49195
bfa,5,62715,64004,38187
bfb,5,56060,15876,34347
bfb,5,3324,17412,44843
bfb,5,3580,21764,47403
bfb,5,9724,20484,61227
bfa,5,1532,15876,51243
bfb,5,64252,14852,50731
bfb,5,7420,10244,55595
bfb,5,9468,3844,50987
bfb,5,6908,16644,58155
bfb,5,4092,24581,5419
bfa,5,14844,11269,4907
bfb,5,59132,17412,50987
bfb,5,508,33028,61739
bfb,5,36348,62725,33579
bfb,5,52221,6149,45611
bfc,5,52220,65029,39979
bfc,5,1533,9989,49451
cfc,5,3581,35077,52267
cfc,5,11005,33797,56107
cfb,5,509,38405,49195
cfc,5,60925,28933,50731
cfc,5,14333,52229,55083
cfc,5,18942,6662,7211
cfc,5,44030,34822,15403
cfc,5,41470,6150,17963
d05,13,prev,prev,63741
705,1,55851,23803,53502
005,6,52779,23803,44286
905,13,56619,23803,34814
705,11,63019,23803,51966
b06,4,50219,23804,26111
a06,6,11307,23804,41215
506,13,18475,23805,4351
906,13,31275,23804,27134
507,12,31275,23804,45310
b06,8,20523,23804,40446
306,4,42283,23804,52478
506,3,37163,23804,49918
706,7,37419,24060,44286
a06,9,34603,24060,52734
906,4,20011,24060,49662
d06,14,11051,24061,6653
506,4,36395,24061,16638
106,2,54315,24060,30974
006,6,10539,24060,30718
206,3,4907,24060,53246
e06,8,6955,24060,48638
806,5,12587,24060,58622
