,reset_hex,reset,resolution,x,y,z
0,78e,1934.0,2,45.0,126.0,115.0
1,78e,1934.0,2,2705.0,297.0,1567.0
2,78e,1934.0,2,2732.0,-119.0,1450.0
3,78e,1934.0,2,3030.0,164.0,1087.0
4,78e,1934.0,2,3156.0,1009.0,1697.0
5,78e,1934.0,2,3116.0,1210.0,1679.0
6,78e,1934.0,2,3076.0,845.0,1724.0
7,78e,1934.0,2,3023.0,920.0,1646.0
8,78e,1934.0,2,3041.0,155.0,1812.0
9,78e,1934.0,2,2370.0,-2454.0,1751.0
10,78e,1934.0,2,2713.0,-1603.0,1827.0
11,78e,1934.0,2,3164.0,-393.0,1703.0
12,78e,1934.0,2,3421.0,-905.0,1209.0
13,78e,1934.0,2,3627.0,34.0,1909.0
14,78f,1935.0,2,3214.0,869.0,2304.0
15,78f,1935.0,2,3159.0,331.0,2112.0
16,78f,1935.0,2,3186.0,370.0,1714.0
17,78f,1935.0,2,2937.0,471.0,2017.0
18,78f,1935.0,2,3083.0,-77.0,1926.0
19,78f,1935.0,2,2944.0,535.0,1987.0
20,78f,1935.0,2,2840.0,23.0,2113.0
21,78f,1935.0,2,2944.0,94.0,2029.0
22,78f,1935.0,2,2819.0,-672.0,2185.0
23,78f,1935.0,2,2768.0,-1077.0,2142.0
24,78f,1935.0,2,2862.0,-661.0,1957.0
25,78f,1935.0,2,2821.0,-1459.0,1870.0
26,78f,1935.0,2,2820.0,-1176.0,2210.0
27,78f,1935.0,2,2914.0,-911.0,2093.0
28,78f,1935.0,2,2948.0,-810.0,2107.0
29,78f,1935.0,2,2943.0,-634.0,2022.0
30,78f,1935.0,2,2895.0,-1097.0,1788.0
31,78f,1935.0,2,2830.0,-812.0,1976.0
32,78f,1935.0,2,3092.0,-338.0,1808.0
33,78f,1935.0,2,3019.0,-365.0,1948.0
34,790,1936.0,2,2988.0,-428.0,1925.0
35,790,1936.0,2,3077.0,-458.0,1821.0
36,790,1936.0,2,3028.0,-347.0,1869.0
37,790,1936.0,2,3127.0,-124.0,1852.0
38,790,1936.0,2,3145.0,-176.0,1820.0
39,790,1936.0,2,3055.0,100.0,1966.0
40,790,1936.0,2,3038.0,177.0,1878.0
41,790,1936.0,2,3069.0,7.0,1838.0
42,790,1936.0,2,3081.0,-18.0,1965.0
43,790,1936.0,2,3132.0,78.0,1830.0
44,790,1936.0,2,3098.0,177.0,1895.0
45,790,1936.0,2,3142.0,132.0,1892.0
46,790,1936.0,2,3006.0,-618.0,2069.0
47,790,1936.0,2,3079.0,-307.0,1927.0
48,790,1936.0,2,3083.0,-9.0,1793.0
49,790,1936.0,2,2957.0,664.0,1962.0
50,790,1936.0,2,2978.0,614.0,2149.0
51,790,1936.0,2,3094.0,526.0,1786.0
52,790,1936.0,2,3117.0,86.0,1684.0
53,790,1936.0,2,3178.0,-75.0,1655.0
54,790,1936.0,2,3165.0,-57.0,1614.0
55,791,1937.0,2,3113.0,-87.0,1764.0
56,791,1937.0,2,3131.0,-255.0,1726.0
57,791,1937.0,2,3144.0,-447.0,1178.0
58,791,1937.0,2,3050.0,115.0,1492.0
59,791,1937.0,2,3048.0,-409.0,1681.0
60,791,1937.0,2,3113.0,-402.0,1517.0
61,791,1937.0,2,3136.0,-557.0,1631.0
62,791,1937.0,2,3151.0,-759.0,1558.0
63,791,1937.0,2,2925.0,-1261.0,1655.0
64,791,1937.0,2,3212.0,-478.0,1626.0
65,791,1937.0,2,3150.0,-500.0,1658.0
66,791,1937.0,2,3114.0,-711.0,1777.0
67,791,1937.0,2,3119.0,-308.0,1424.0
68,791,1937.0,2,2947.0,67.0,1523.0
69,791,1937.0,2,2711.0,2106.0,1369.0
70,791,1937.0,2,2587.0,2447.0,1351.0
71,791,1937.0,2,2837.0,1000.0,2164.0
72,791,1937.0,2,2968.0,824.0,2091.0
73,791,1937.0,2,2476.0,-357.0,3350.0
74,791,1937.0,2,2930.0,-510.0,2417.0
75,792,1938.0,2,3039.0,-181.0,2461.0
76,792,1938.0,2,2687.0,-1056.0,1906.0
77,792,1938.0,2,2857.0,241.0,1929.0
78,792,1938.0,2,2856.0,615.0,2070.0
79,792,1938.0,2,2965.0,-82.0,2105.0
80,792,1938.0,2,2945.0,-646.0,2088.0
81,792,1938.0,2,3000.0,-873.0,2125.0
82,792,1938.0,2,3019.0,-618.0,1856.0
83,792,1938.0,2,3012.0,-288.0,2009.0
84,792,1938.0,2,2920.0,-676.0,1892.0
85,792,1938.0,2,2973.0,-513.0,1974.0
86,792,1938.0,2,2954.0,-791.0,1929.0
87,792,1938.0,2,3016.0,-942.0,1944.0
88,792,1938.0,2,3037.0,-723.0,1902.0
89,792,1938.0,2,3010.0,-834.0,1880.0
90,792,1938.0,2,3077.0,-660.0,1999.0
91,792,1938.0,2,3191.0,216.0,1669.0
92,792,1938.0,2,2667.0,2477.0,1583.0
93,792,1938.0,2,2920.0,-292.0,1755.0
94,792,1938.0,2,3242.0,-376.0,1745.0
95,792,1938.0,2,3219.0,-314.0,1707.0
96,793,1939.0,2,3238.0,-208.0,1815.0
97,793,1939.0,2,3193.0,-398.0,1914.0
98,793,1939.0,2,3232.0,-233.0,2017.0
99,793,1939.0,2,3216.0,-430.0,2010.0
100,793,1939.0,2,3221.0,-272.0,1980.0
101,793,1939.0,2,3134.0,-431.0,2072.0
102,793,1939.0,2,3172.0,-280.0,1963.0
103,793,1939.0,2,3217.0,-298.0,1964.0
104,793,1939.0,2,3239.0,-265.0,1991.0
105,793,1939.0,2,3173.0,-441.0,2053.0
106,793,1939.0,2,3195.0,-235.0,2053.0
107,793,1939.0,2,3219.0,-386.0,2040.0
108,793,1939.0,2,3211.0,-349.0,2058.0
109,793,1939.0,2,3205.0,-208.0,2076.0
110,793,1939.0,2,3203.0,-192.0,2116.0
111,793,1939.0,2,3168.0,-324.0,2110.0
112,793,1939.0,2,3205.0,-293.0,2062.0
113,793,1939.0,2,3174.0,-304.0,2103.0
114,793,1939.0,2,3172.0,-251.0,2125.0
115,793,1939.0,2,3173.0,-220.0,2135.0
116,794,1940.0,2,3165.0,102.0,2075.0
117,794,1940.0,2,3179.0,-202.0,2128.0
118,794,1940.0,2,3182.0,-249.0,2130.0
119,794,1940.0,2,3181.0,-385.0,2101.0
120,794,1940.0,2,3172.0,-276.0,2121.0
121,794,1940.0,2,3201.0,-149.0,2082.0
122,794,1940.0,2,3186.0,-361.0,2140.0
123,794,1940.0,2,3156.0,-475.0,2134.0
124,794,1940.0,2,3182.0,-508.0,2116.0
125,794,1940.0,2,3172.0,-435.0,2123.0
126,794,1940.0,2,3187.0,-67.0,2083.0
127,794,1940.0,2,3195.0,-46.0,2090.0
128,794,1940.0,2,3198.0,-158.0,2090.0
129,794,1940.0,2,3194.0,-307.0,2087.0
130,794,1940.0,2,3186.0,-280.0,2097.0
131,794,1940.0,2,3162.0,-209.0,2065.0
132,794,1940.0,2,3164.0,-244.0,2068.0
133,794,1940.0,2,3149.0,-109.0,2001.0
134,794,1940.0,2,3151.0,-317.0,2081.0
135,794,1940.0,2,3157.0,-309.0,2119.0
136,794,1940.0,2,3232.0,-135.0,2152.0
137,795,1941.0,2,3184.0,-170.0,2164.0
138,795,1941.0,2,3227.0,-3.0,2097.0
139,795,1941.0,2,3243.0,163.0,2149.0
140,795,1941.0,2,3271.0,109.0,2132.0
141,795,1941.0,2,3324.0,143.0,2172.0
142,795,1941.0,2,3312.0,103.0,2220.0
143,795,1941.0,2,3257.0,82.0,2248.0
144,795,1941.0,2,3253.0,157.0,2268.0
145,795,1941.0,2,3191.0,234.0,2214.0
146,795,1941.0,2,3215.0,342.0,2185.0
147,795,1941.0,2,3225.0,363.0,2171.0
148,795,1941.0,2,3222.0,294.0,2188.0
149,795,1941.0,2,3234.0,224.0,2213.0
150,795,1941.0,2,3227.0,297.0,2132.0
151,795,1941.0,2,3209.0,151.0,2216.0
152,795,1941.0,2,3182.0,186.0,2105.0
153,795,1941.0,2,3146.0,199.0,2092.0
154,795,1941.0,2,3141.0,204.0,2008.0
155,795,1941.0,2,3138.0,194.0,2016.0
156,795,1941.0,2,3165.0,282.0,2000.0
157,796,1942.0,2,3158.0,371.0,1965.0
158,796,1942.0,2,3206.0,378.0,1985.0
159,796,1942.0,2,3159.0,320.0,1983.0
160,796,1942.0,2,3192.0,224.0,1985.0
161,796,1942.0,2,3194.0,158.0,1934.0
162,796,1942.0,2,3170.0,183.0,2013.0
163,796,1942.0,2,3175.0,459.0,1983.0
164,796,1942.0,2,3190.0,201.0,2066.0
165,796,1942.0,2,3262.0,218.0,2018.0
166,796,1942.0,2,3257.0,119.0,2080.0
167,796,1942.0,2,3275.0,202.0,1986.0
168,796,1942.0,2,3316.0,295.0,1945.0
169,796,1942.0,2,3302.0,304.0,1962.0
170,796,1942.0,2,3323.0,237.0,1934.0
171,796,1942.0,2,3316.0,128.0,1939.0
172,796,1942.0,2,3288.0,235.0,1930.0
173,796,1942.0,2,3282.0,343.0,1927.0
174,796,1942.0,2,3256.0,241.0,1952.0
175,796,1942.0,2,3270.0,235.0,1950.0
176,796,1942.0,2,3246.0,251.0,2019.0
177,796,1942.0,2,3274.0,254.0,1966.0
178,797,1943.0,2,3291.0,433.0,1987.0
179,797,1943.0,2,3286.0,366.0,2067.0
180,797,1943.0,2,3298.0,387.0,2025.0
181,797,1943.0,2,3269.0,480.0,1987.0
182,797,1943.0,2,3263.0,308.0,2090.0
183,797,1943.0,2,3275.0,370.0,2074.0
184,797,1943.0,2,3250.0,410.0,2002.0
185,797,1943.0,2,3234.0,547.0,1981.0
186,797,1943.0,2,3223.0,210.0,1986.0
187,797,1943.0,2,3250.0,260.0,2018.0
188,797,1943.0,2,3272.0,338.0,2048.0
189,797,1943.0,2,3283.0,413.0,2069.0
190,797,1943.0,2,3305.0,373.0,2037.0
191,797,1943.0,2,3317.0,371.0,1995.0
192,797,1943.0,2,3317.0,342.0,1973.0
193,797,1943.0,2,3322.0,340.0,1965.0
194,797,1943.0,2,3315.0,259.0,2001.0
195,797,1943.0,2,3329.0,348.0,1969.0
196,797,1943.0,2,3284.0,324.0,1997.0
197,797,1943.0,2,3298.0,252.0,2050.0
198,798,1944.0,2,3278.0,358.0,2032.0
199,798,1944.0,2,3228.0,403.0,1993.0
200,798,1944.0,2,3225.0,380.0,2035.0
201,798,1944.0,2,3211.0,361.0,2030.0
202,798,1944.0,2,3190.0,350.0,1981.0
203,798,1944.0,2,3200.0,25.0,2034.0
204,798,1944.0,2,3194.0,-300.0,2029.0
