,reset_hex,reset,resolution,x,y,z
0,be0,3040.0,4,2385.0,-2525.0,-284.0
1,be0,3040.0,4,-432.0,-5787.0,6275.0
2,be0,3040.0,4,-423.0,-5792.0,6272.0
3,be0,3040.0,4,-414.0,-5792.0,6254.0
4,be0,3040.0,4,-407.0,-5797.0,6267.0
5,be0,3040.0,4,-398.0,-5802.0,6262.0
6,be0,3040.0,4,-390.0,-5807.0,6258.0
7,be0,3040.0,4,-382.0,-5808.0,6240.0
8,be0,3040.0,4,-375.0,-5812.0,6253.0
9,be0,3040.0,4,-367.0,-5818.0,6248.0
10,be0,3040.0,4,-359.0,-5821.0,6228.0
11,be0,3040.0,4,-352.0,-5825.0,6240.0
12,be0,3040.0,4,-344.0,-5830.0,6236.0
13,be1,3041.0,4,-336.0,-5834.0,6232.0
14,be1,3041.0,4,-328.0,-5834.0,6215.0
15,be1,3041.0,4,-321.0,-5837.0,6229.0
16,be1,3041.0,4,-314.0,-5840.0,6226.0
17,be1,3041.0,4,-307.0,-5842.0,6224.0
18,be1,3041.0,4,-300.0,-5841.0,6208.0
19,be1,3041.0,4,-293.0,-5842.0,6223.0
20,be1,3041.0,4,-286.0,-5844.0,6222.0
21,be1,3041.0,4,-277.0,-5842.0,6206.0
22,be1,3041.0,4,-267.0,-5843.0,6222.0
23,be1,3041.0,4,-258.0,-5844.0,6220.0
24,be1,3041.0,4,-248.0,-5845.0,6219.0
25,be1,3041.0,4,-240.0,-5844.0,6203.0
26,be1,3041.0,4,-233.0,-5846.0,6217.0
27,be1,3041.0,4,-226.0,-5850.0,6213.0
28,be1,3041.0,4,-218.0,-5852.0,6195.0
29,be1,3041.0,4,-211.0,-5853.0,6210.0
30,be1,3041.0,4,-204.0,-5856.0,6207.0
31,be1,3041.0,4,-197.0,-5862.0,6202.0
32,be1,3041.0,4,-189.0,-5865.0,6182.0
33,be2,3042.0,4,-181.0,-5869.0,6194.0
34,be2,3042.0,4,-173.0,-5873.0,6190.0
35,be2,3042.0,4,-164.0,-5876.0,6186.0
36,be2,3042.0,4,-155.0,-5876.0,6168.0
37,be2,3042.0,4,-147.0,-5879.0,6181.0
38,be2,3042.0,4,-140.0,-5879.0,6179.0
39,be2,3042.0,4,-134.0,-5879.0,6162.0
40,be2,3042.0,4,-127.0,-5880.0,6177.0
41,be2,3042.0,4,-120.0,-5881.0,6176.0
42,be2,3042.0,4,-112.0,-5882.0,6174.0
43,be2,3042.0,4,-105.0,-5880.0,6158.0
44,be2,3042.0,4,-98.0,-5880.0,6174.0
45,be2,3042.0,4,-90.0,-5879.0,6173.0
46,be2,3042.0,4,-83.0,-5879.0,6172.0
47,be2,3042.0,4,-75.0,-5877.0,6156.0
48,be2,3042.0,4,-68.0,-5877.0,6170.0
49,be2,3042.0,4,-60.0,-5878.0,6168.0
