,reset,resolution,x,y,z
0,1725.0,2.0,-56.0,-835.0,2706.0
1,1725.0,2.0,-20.0,-855.0,2658.0
2,1725.0,2.0,-113.0,-960.0,2711.0
3,1725.0,2.0,-105.0,-901.0,2658.0
4,1726.0,2.0,-68.0,-955.0,2645.0
5,1726.0,2.0,-50.0,-951.0,2639.0
6,1726.0,2.0,-48.0,-909.0,2748.0
7,1726.0,2.0,-81.0,-964.0,2695.0
8,1726.0,2.0,-12.0,-1046.0,2674.0
9,1726.0,2.0,-26.0,-1085.0,2699.0
10,1726.0,2.0,-19.0,-1044.0,2730.0
11,1726.0,2.0,-14.0,-1111.0,2663.0
12,1726.0,2.0,-16.0,-1084.0,2644.0
13,1726.0,2.0,73.0,-1211.0,2554.0
14,1726.0,2.0,67.0,-1220.0,2559.0
15,1726.0,2.0,8.0,-1245.0,2577.0
16,1726.0,2.0,-19.0,-1221.0,2620.0
17,1726.0,2.0,-68.0,-1158.0,2682.0
18,1726.0,2.0,-57.0,-1125.0,2710.0
19,1726.0,2.0,-71.0,-1204.0,2715.0
20,1726.0,2.0,-67.0,-1221.0,2685.0
21,1726.0,2.0,-79.0,-1303.0,2704.0
22,1726.0,2.0,-91.0,-1259.0,2694.0
23,1726.0,2.0,-130.0,-1274.0,2701.0
24,1726.0,2.0,-114.0,-1324.0,2648.0
25,1727.0,2.0,-123.0,-1322.0,2650.0
26,1727.0,2.0,-128.0,-1390.0,2612.0
27,1727.0,2.0,-67.0,-1438.0,2587.0
28,1727.0,2.0,-72.0,-1403.0,2606.0
29,1727.0,2.0,-85.0,-1371.0,2627.0
30,1727.0,2.0,-106.0,-1354.0,2630.0
31,1727.0,2.0,-167.0,-1360.0,2625.0
32,1727.0,2.0,-235.0,-1422.0,2568.0
33,1727.0,2.0,-247.0,-1389.0,2570.0
34,1727.0,2.0,-276.0,-1386.0,2616.0
35,1727.0,2.0,-269.0,-1345.0,2523.0
36,1727.0,2.0,-200.0,-1280.0,2498.0
37,1727.0,2.0,-176.0,-1193.0,2526.0
38,1727.0,2.0,-143.0,-1081.0,2572.0
39,1727.0,2.0,-203.0,-1143.0,2512.0
40,1727.0,2.0,-274.0,-1246.0,2438.0
41,1727.0,2.0,-243.0,-1278.0,2458.0
42,1727.0,2.0,-266.0,-1343.0,2509.0
43,1727.0,2.0,-207.0,-1440.0,2514.0
44,1727.0,2.0,-204.0,-1480.0,2482.0
45,1728.0,2.0,-212.0,-1463.0,2495.0
46,1728.0,2.0,-196.0,-1488.0,2513.0
47,1728.0,2.0,-251.0,-1478.0,2517.0
48,1728.0,2.0,-252.0,-1448.0,2532.0
49,1728.0,2.0,-254.0,-1475.0,2516.0
50,1728.0,2.0,-280.0,-1438.0,2546.0
51,1728.0,2.0,-283.0,-1437.0,2554.0
52,1728.0,2.0,-267.0,-1389.0,2590.0
53,1728.0,2.0,-212.0,-1468.0,2525.0
54,1728.0,2.0,-251.0,-1410.0,2583.0
55,1728.0,2.0,-319.0,-1465.0,2574.0
56,1728.0,2.0,-287.0,-1491.0,2546.0
