,reset_hex,reset,resolution,x,y,z
0,699,1689.0,2,522.0,17.0,-427.0
1,699,1689.0,2,-721.0,-1628.0,2758.0
2,699,1689.0,2,-492.0,-1613.0,2815.0
3,699,1689.0,2,-639.0,-1670.0,2812.0
4,69a,1690.0,2,-774.0,-1559.0,2843.0
5,69a,1690.0,2,-629.0,-1674.0,2803.0
6,69a,1690.0,2,-579.0,-1757.0,2773.0
7,69a,1690.0,2,-907.0,-1476.0,2769.0
8,69a,1690.0,2,-911.0,-1587.0,2784.0
9,69a,1690.0,2,-888.0,-1741.0,2736.0
10,69a,1690.0,2,-1021.0,-1316.0,2814.0
11,69a,1690.0,2,-1046.0,-1646.0,2791.0
12,69a,1690.0,2,-912.0,-1425.0,2827.0
13,69a,1690.0,2,-924.0,-1602.0,2768.0
14,69a,1690.0,2,-828.0,-1700.0,2793.0
15,69a,1690.0,2,-850.0,-1767.0,2799.0
16,69a,1690.0,2,-704.0,-1799.0,2823.0
17,69a,1690.0,2,-594.0,-1658.0,2836.0
18,69a,1690.0,2,-601.0,-1780.0,2679.0
19,69a,1690.0,2,-720.0,-1526.0,2763.0
20,69a,1690.0,2,-626.0,-1468.0,2824.0
21,69a,1690.0,2,-910.0,-1389.0,2763.0
22,69a,1690.0,2,-683.0,-1693.0,2659.0
23,69a,1690.0,2,-817.0,-1482.0,2724.0
24,69a,1690.0,2,-828.0,-1525.0,2756.0
25,69b,1691.0,2,-781.0,-1320.0,2708.0
26,69b,1691.0,2,-654.0,-1278.0,2916.0
27,69b,1691.0,2,-652.0,-1638.0,2784.0
28,69b,1691.0,2,-480.0,-1666.0,2779.0
29,69b,1691.0,2,-472.0,-1695.0,2745.0
30,69b,1691.0,2,-616.0,-1608.0,2785.0
31,69b,1691.0,2,-769.0,-1412.0,2719.0
32,69b,1691.0,2,-555.0,-1496.0,2794.0
33,69b,1691.0,2,-437.0,-1699.0,2688.0
34,69b,1691.0,2,-349.0,-1556.0,2672.0
35,69b,1691.0,2,-508.0,-1474.0,2696.0
36,69b,1691.0,2,-498.0,-1572.0,2760.0
37,69b,1691.0,2,-364.0,-1593.0,2711.0
38,69b,1691.0,2,-364.0,-1628.0,2766.0
39,69b,1691.0,2,-367.0,-1562.0,2728.0
40,69b,1691.0,2,-147.0,-1694.0,2570.0
41,69b,1691.0,2,-293.0,-1687.0,2632.0
42,69b,1691.0,2,-661.0,-1410.0,2799.0
43,69b,1691.0,2,-546.0,-1393.0,2796.0
44,69b,1691.0,2,-489.0,-1440.0,2801.0
45,69c,1692.0,2,-185.0,-1390.0,2700.0
46,69c,1692.0,2,110.0,-1465.0,2373.0
47,69c,1692.0,2,-599.0,-1992.0,1941.0
48,69c,1692.0,2,-2383.0,-299.0,2263.0
49,69c,1692.0,2,-1797.0,-870.0,2682.0
50,69c,1692.0,2,-2137.0,-848.0,2286.0
51,69c,1692.0,2,-2454.0,-546.0,2681.0
52,69c,1692.0,2,-2279.0,-920.0,2648.0
53,69c,1692.0,2,-1704.0,-560.0,2554.0
54,69c,1692.0,2,-1877.0,-703.0,2795.0
55,69c,1692.0,2,-1824.0,-1378.0,2727.0
56,69c,1692.0,2,-1586.0,-1287.0,2774.0
57,69c,1692.0,2,-2036.0,-1071.0,2605.0
58,69c,1692.0,2,-2075.0,-860.0,2587.0
59,69c,1692.0,2,-1512.0,-1090.0,2712.0
60,69c,1692.0,2,-1117.0,-1494.0,2712.0
61,69c,1692.0,2,-606.0,-1389.0,2611.0
62,69c,1692.0,2,-1029.0,-1679.0,2769.0
63,69c,1692.0,2,-784.0,-1611.0,2864.0
64,69c,1692.0,2,-486.0,-1495.0,2679.0
65,69c,1692.0,2,-1250.0,-1671.0,2643.0
66,69d,1693.0,2,-1256.0,-1624.0,2702.0
67,69d,1693.0,2,-1195.0,-1717.0,2605.0
68,69d,1693.0,2,-1312.0,-1859.0,2564.0
69,69d,1693.0,2,-1874.0,-1531.0,2345.0
70,69d,1693.0,2,-2047.0,-1174.0,2357.0
71,69d,1693.0,2,-2032.0,-1286.0,2359.0
72,69d,1693.0,2,-1991.0,-1404.0,2300.0
73,69d,1693.0,2,-2023.0,-1180.0,2524.0
74,69d,1693.0,2,-1898.0,-1559.0,2545.0
75,69d,1693.0,2,-1800.0,-1449.0,2540.0
76,69d,1693.0,2,-1937.0,-1548.0,2362.0
77,69d,1693.0,2,-1845.0,-1580.0,2314.0
78,69d,1693.0,2,-1521.0,-1627.0,2599.0
79,69d,1693.0,2,-1682.0,-1707.0,2438.0
80,69d,1693.0,2,-1992.0,-1620.0,2277.0
81,69d,1693.0,2,-1805.0,-1628.0,2464.0
82,69d,1693.0,2,-1463.0,-1935.0,2373.0
83,69d,1693.0,2,-1126.0,-1942.0,2352.0
84,69d,1693.0,2,-776.0,-1850.0,2342.0
85,69d,1693.0,2,-962.0,-1748.0,2477.0
86,69e,1694.0,2,-1051.0,-1739.0,2593.0
87,69e,1694.0,2,-1041.0,-1644.0,2672.0
88,69e,1694.0,2,-1016.0,-1702.0,2712.0
89,69e,1694.0,2,-1392.0,-1578.0,2532.0
90,69e,1694.0,2,-1364.0,-1669.0,2571.0
91,69e,1694.0,2,-1337.0,-1588.0,2548.0
92,69e,1694.0,2,-1303.0,-1552.0,2545.0
93,69e,1694.0,2,-1254.0,-1485.0,2648.0
94,69e,1694.0,2,-1289.0,-1394.0,2697.0
95,69e,1694.0,2,-1226.0,-1480.0,2601.0
96,69e,1694.0,2,-1264.0,-1659.0,2498.0
97,69e,1694.0,2,-1344.0,-1880.0,2499.0
98,69e,1694.0,2,-1327.0,-1768.0,2383.0
99,69e,1694.0,2,-1271.0,-1832.0,2437.0
100,69e,1694.0,2,-1035.0,-1642.0,2498.0
101,69e,1694.0,2,-1250.0,-1717.0,2448.0
102,69e,1694.0,2,-1107.0,-1790.0,2436.0
103,69e,1694.0,2,-1116.0,-1905.0,2438.0
104,69e,1694.0,2,-950.0,-1922.0,2436.0
105,69e,1694.0,2,-1023.0,-1747.0,2494.0
106,69e,1694.0,2,-1030.0,-1958.0,2268.0
107,69f,1695.0,2,-1288.0,-1770.0,2407.0
108,69f,1695.0,2,-1088.0,-2011.0,2253.0
109,69f,1695.0,2,-1215.0,-1801.0,2400.0
110,69f,1695.0,2,-1236.0,-1724.0,2316.0
111,69f,1695.0,2,-1245.0,-1834.0,2424.0
112,69f,1695.0,2,-1161.0,-1913.0,2331.0
113,69f,1695.0,2,-946.0,-1979.0,2414.0
114,69f,1695.0,2,-748.0,-2054.0,2414.0
115,69f,1695.0,2,-839.0,-1856.0,2385.0
116,69f,1695.0,2,-1008.0,-1837.0,2498.0
117,69f,1695.0,2,-822.0,-1911.0,2507.0
118,69f,1695.0,2,-587.0,-1904.0,2527.0
119,69f,1695.0,2,-541.0,-1874.0,2472.0
120,69f,1695.0,2,-542.0,-1999.0,2445.0
121,69f,1695.0,2,-392.0,-1814.0,2474.0
122,69f,1695.0,2,-405.0,-1910.0,2446.0
123,69f,1695.0,2,-505.0,-1788.0,2547.0
124,69f,1695.0,2,-604.0,-1790.0,2624.0
125,69f,1695.0,2,-507.0,-1918.0,2502.0
126,69f,1695.0,2,-535.0,-1839.0,2463.0
127,69f,1695.0,2,-572.0,-1926.0,2437.0
128,6a0,1696.0,2,-622.0,-1842.0,2446.0
129,6a0,1696.0,2,-668.0,-1631.0,2660.0
130,6a0,1696.0,2,-513.0,-1878.0,2509.0
131,6a0,1696.0,2,-400.0,-2178.0,2361.0
132,6a0,1696.0,2,-534.0,-1946.0,2322.0
133,6a0,1696.0,2,-583.0,-1960.0,2398.0
134,6a0,1696.0,2,-710.0,-1820.0,2637.0
135,6a0,1696.0,2,-665.0,-1698.0,2624.0
136,6a0,1696.0,2,-631.0,-1878.0,2556.0
137,6a0,1696.0,2,-727.0,-1746.0,2630.0
138,6a0,1696.0,2,-682.0,-1769.0,2679.0
139,6a0,1696.0,2,-815.0,-1740.0,2592.0
140,6a0,1696.0,2,-956.0,-971.0,2977.0
141,6a0,1696.0,2,-626.0,-1789.0,2648.0
142,6a0,1696.0,2,-986.0,-1682.0,2704.0
143,6a0,1696.0,2,-936.0,-1250.0,2904.0
144,6a0,1696.0,2,-811.0,-1598.0,2958.0
145,6a0,1696.0,2,-972.0,-1786.0,2653.0
146,6a0,1696.0,2,-749.0,-1715.0,3072.0
147,6a0,1696.0,2,-1148.0,-851.0,3017.0
148,6a1,1697.0,2,-1258.0,-7.0,2708.0
149,6a1,1697.0,2,-1206.0,-422.0,3050.0
150,6a1,1697.0,2,-1580.0,-27.0,3010.0
151,6a1,1697.0,2,-1837.0,508.0,2427.0
152,6a1,1697.0,2,296.0,-269.0,2318.0
153,6a1,1697.0,2,-463.0,-1811.0,2047.0
154,6a1,1697.0,2,-824.0,-1530.0,2284.0
155,6a1,1697.0,2,-840.0,-1758.0,2487.0
156,6a1,1697.0,2,-584.0,-2231.0,2445.0
157,6a1,1697.0,2,-843.0,-2093.0,2169.0
158,6a1,1697.0,2,-951.0,-1471.0,2970.0
159,6a1,1697.0,2,-864.0,-1373.0,3218.0
160,6a1,1697.0,2,-1166.0,-2154.0,2983.0
161,6a1,1697.0,2,-1365.0,-2042.0,2825.0
162,6a1,1697.0,2,-585.0,-1738.0,2727.0
163,6a1,1697.0,2,-680.0,-789.0,3160.0
164,6a1,1697.0,2,-770.0,-682.0,3235.0
165,6a1,1697.0,2,-611.0,-786.0,3299.0
166,6a1,1697.0,2,-474.0,-1363.0,2941.0
167,6a1,1697.0,2,-395.0,-989.0,2923.0
168,6a1,1697.0,2,-725.0,-821.0,2940.0
169,6a2,1698.0,2,-936.0,-411.0,2744.0
170,6a2,1698.0,2,-626.0,-1120.0,2972.0
171,6a2,1698.0,2,-617.0,-1501.0,2762.0
172,6a2,1698.0,2,-365.0,-1511.0,2950.0
173,6a2,1698.0,2,-285.0,-1436.0,2497.0
174,6a2,1698.0,2,-612.0,-1301.0,2630.0
175,6a2,1698.0,2,-103.0,-1852.0,2563.0
176,6a2,1698.0,2,119.0,-1548.0,2392.0
177,6a2,1698.0,2,-98.0,-1557.0,2830.0
178,6a2,1698.0,2,-292.0,-1411.0,2843.0
179,6a2,1698.0,2,-213.0,-1435.0,2775.0
180,6a2,1698.0,2,-132.0,-1467.0,2767.0
181,6a2,1698.0,2,8.0,-1499.0,2689.0
182,6a2,1698.0,2,-13.0,-1412.0,2602.0
183,6a2,1698.0,2,-112.0,-1214.0,2770.0
184,6a2,1698.0,2,-93.0,-1306.0,2794.0
185,6a2,1698.0,2,-118.0,-1302.0,2792.0
186,6a2,1698.0,2,129.0,-1315.0,2637.0
187,6a2,1698.0,2,250.0,-1254.0,2544.0
188,6a2,1698.0,2,168.0,-1330.0,2631.0
189,6a3,1699.0,2,159.0,-1250.0,2640.0
190,6a3,1699.0,2,101.0,-1392.0,2637.0
191,6a3,1699.0,2,65.0,-1437.0,2638.0
192,6a3,1699.0,2,86.0,-1374.0,2636.0
193,6a3,1699.0,2,168.0,-1398.0,2576.0
194,6a3,1699.0,2,143.0,-1536.0,2525.0
195,6a3,1699.0,2,273.0,-1398.0,2503.0
196,6a3,1699.0,2,264.0,-1405.0,2555.0
197,6a3,1699.0,2,290.0,-1372.0,2474.0
198,6a3,1699.0,2,181.0,-1500.0,2522.0
199,6a3,1699.0,2,116.0,-1450.0,2559.0
200,6a3,1699.0,2,131.0,-1601.0,2501.0
201,6a3,1699.0,2,9.0,-1515.0,2591.0
202,6a3,1699.0,2,-70.0,-1533.0,2667.0
203,6a3,1699.0,2,-41.0,-1535.0,2661.0
204,6a3,1699.0,2,-67.0,-1509.0,2611.0
205,6a3,1699.0,2,-132.0,-1486.0,2720.0
206,6a3,1699.0,2,-332.0,-1430.0,2856.0
207,6a3,1699.0,2,-920.0,-1972.0,2610.0
208,6a3,1699.0,2,-541.0,-1670.0,2711.0
209,6a3,1699.0,2,-137.0,-1330.0,2741.0
210,6a4,1700.0,2,-703.0,-1487.0,2825.0
211,6a4,1700.0,2,-874.0,-1485.0,2854.0
212,6a4,1700.0,2,-763.0,-1508.0,2861.0
213,6a4,1700.0,2,-561.0,-1514.0,2838.0
214,6a4,1700.0,2,-595.0,-1572.0,2919.0
215,6a4,1700.0,2,-788.0,-1484.0,2834.0
216,6a4,1700.0,2,-775.0,-1481.0,2882.0
217,6a4,1700.0,2,-729.0,-1696.0,2957.0
218,6a4,1700.0,2,-546.0,-1860.0,2738.0
219,6a4,1700.0,2,-565.0,-1956.0,2710.0
220,6a4,1700.0,2,-653.0,-1987.0,2621.0
221,6a4,1700.0,2,-581.0,-1885.0,2607.0
222,6a4,1700.0,2,-542.0,-1922.0,2613.0
223,6a4,1700.0,2,-492.0,-1939.0,2626.0
224,6a4,1700.0,2,-391.0,-1956.0,2628.0
225,6a4,1700.0,2,-494.0,-1892.0,2637.0
226,6a4,1700.0,2,-583.0,-1792.0,2694.0
227,6a4,1700.0,2,-564.0,-1831.0,2690.0
228,6a4,1700.0,2,-517.0,-1857.0,2754.0
229,6a4,1700.0,2,-462.0,-1861.0,2678.0
230,6a5,1701.0,2,-541.0,-1975.0,2574.0
231,6a5,1701.0,2,-558.0,-2120.0,2516.0
232,6a5,1701.0,2,-556.0,-1712.0,2836.0
233,6a5,1701.0,2,-749.0,-1948.0,2604.0
234,6a5,1701.0,2,-702.0,-1584.0,2743.0
235,6a5,1701.0,2,-789.0,-1060.0,3199.0
236,6a5,1701.0,2,-803.0,-1373.0,2965.0
237,6a5,1701.0,2,-812.0,-1431.0,3049.0
238,6a5,1701.0,2,-658.0,-1347.0,2923.0
239,6a5,1701.0,2,-960.0,-1558.0,2976.0
240,6a5,1701.0,2,-963.0,-1750.0,2950.0
241,6a5,1701.0,2,-898.0,-1755.0,2781.0
242,6a5,1701.0,2,-716.0,-1999.0,2738.0
243,6a5,1701.0,2,-629.0,-1736.0,2802.0
244,6a5,1701.0,2,-580.0,-1778.0,2857.0
245,6a5,1701.0,2,-601.0,-1699.0,2785.0
246,6a5,1701.0,2,-675.0,-1707.0,2868.0
247,6a5,1701.0,2,-659.0,-1695.0,2924.0
248,6a5,1701.0,2,-972.0,-1456.0,2905.0
249,6a5,1701.0,2,-1065.0,-1577.0,2900.0
250,6a5,1701.0,2,-806.0,-1537.0,3031.0
251,6a6,1702.0,2,-882.0,-1557.0,2967.0
252,6a6,1702.0,2,-879.0,-1391.0,2854.0
253,6a6,1702.0,2,-960.0,-1704.0,2929.0
254,6a6,1702.0,2,-856.0,-1768.0,2807.0
255,6a6,1702.0,2,-762.0,-1945.0,2822.0
256,6a6,1702.0,2,-679.0,-1896.0,2794.0
257,6a6,1702.0,2,-878.0,-1796.0,2826.0
258,6a6,1702.0,2,-839.0,-1733.0,2791.0
259,6a6,1702.0,2,-664.0,-1894.0,2811.0
260,6a6,1702.0,2,-626.0,-1942.0,2760.0
261,6a6,1702.0,2,-287.0,-2063.0,2550.0
262,6a6,1702.0,2,-670.0,-1899.0,2694.0
263,6a6,1702.0,2,-901.0,-1789.0,2816.0
264,6a6,1702.0,2,-1000.0,-1799.0,2799.0
265,6a6,1702.0,2,-1240.0,-1485.0,2755.0
266,6a6,1702.0,2,-828.0,-1567.0,3011.0
267,6a6,1702.0,2,-865.0,-1463.0,2853.0
268,6a6,1702.0,2,-894.0,-1717.0,2963.0
269,6a6,1702.0,2,-788.0,-1492.0,3003.0
270,6a6,1702.0,2,-760.0,-1681.0,2956.0
271,6a6,1702.0,2,-753.0,-1657.0,3010.0
272,6a7,1703.0,2,-671.0,-1674.0,2959.0
273,6a7,1703.0,2,-875.0,-1733.0,2814.0
274,6a7,1703.0,2,-930.0,-1887.0,2821.0
275,6a7,1703.0,2,-926.0,-1817.0,2844.0
276,6a7,1703.0,2,-609.0,-1878.0,2889.0
277,6a7,1703.0,2,-683.0,-1574.0,2941.0
278,6a7,1703.0,2,-592.0,-1591.0,2882.0
279,6a7,1703.0,2,-484.0,-1722.0,3038.0
280,6a7,1703.0,2,-403.0,-1590.0,2931.0
281,6a7,1703.0,2,-336.0,-1700.0,2997.0
282,6a7,1703.0,2,-422.0,-1499.0,2939.0
283,6a7,1703.0,2,-465.0,-1601.0,3000.0
284,6a7,1703.0,2,-726.0,-1540.0,3312.0
285,6a7,1703.0,2,-1416.0,-1584.0,2847.0
286,6a7,1703.0,2,-1904.0,-1169.0,2265.0
287,6a7,1703.0,2,-1718.0,-1835.0,2729.0
288,6a7,1703.0,2,-2599.0,37.0,2871.0
289,6a7,1703.0,2,-2631.0,-399.0,3577.0
290,6a7,1703.0,2,-2358.0,-1375.0,2907.0
291,6a7,1703.0,2,-2285.0,-136.0,2194.0
292,6a8,1704.0,2,-1502.0,189.0,2856.0
293,6a8,1704.0,2,-1525.0,-346.0,2997.0
294,6a8,1704.0,2,-1937.0,-1779.0,2933.0
295,6a8,1704.0,2,-1936.0,-1889.0,1387.0
296,6a8,1704.0,2,-2649.0,-766.0,1023.0
297,6a8,1704.0,2,-2612.0,-1484.0,1277.0
298,6a8,1704.0,2,-2245.0,-1249.0,999.0
299,6a8,1704.0,2,-2639.0,-906.0,1672.0
