,reset_hex,reset,resolution,x,y,z
0,838,2104.0,2,-2533.0,46.0,-190.0
1,838,2104.0,2,-2135.0,-3997.0,2098.0
2,838,2104.0,2,-2677.0,-3793.0,2008.0
3,838,2104.0,2,-2242.0,-4294.0,1704.0
4,838,2104.0,2,-2017.0,-4568.0,1778.0
5,839,2105.0,2,-2088.0,-4730.0,2069.0
6,839,2105.0,2,-2301.0,-4762.0,2860.0
7,839,2105.0,2,-3030.0,-4165.0,3044.0
8,839,2105.0,2,-3754.0,-3510.0,3593.0
9,839,2105.0,2,-2510.0,-4035.0,4334.0
10,839,2105.0,2,-1664.0,-5244.0,3730.0
11,839,2105.0,2,-1092.0,-5266.0,3501.0
12,839,2105.0,2,-876.0,-5989.0,3293.0
13,839,2105.0,2,-2280.0,-5790.0,2593.0
14,839,2105.0,2,-2266.0,-7014.0,3267.0
15,839,2105.0,2,-1421.0,-7226.0,3018.0
16,839,2105.0,2,-3013.0,-6213.0,2948.0
17,839,2105.0,2,-1664.0,-6797.0,2679.0
18,839,2105.0,2,-1828.0,-7081.0,1482.0
19,839,2105.0,2,-2673.0,-5715.0,1798.0
20,839,2105.0,2,-4628.0,-2699.0,2982.0
21,839,2105.0,2,-4930.0,-2100.0,167.0
22,839,2105.0,2,-705.0,-1648.0,2518.0
23,839,2105.0,2,2016.0,2149.0,-637.0
24,839,2105.0,2,2303.0,841.0,-1285.0
25,839,2105.0,2,2208.0,-3061.0,682.0
26,83a,2106.0,2,1569.0,-4030.0,2497.0
27,83a,2106.0,2,-3433.0,-2876.0,2930.0
28,83a,2106.0,2,-4475.0,-2876.0,3443.0
29,83a,2106.0,2,-4102.0,-3928.0,3342.0
30,83a,2106.0,2,-953.0,-2539.0,2078.0
31,83a,2106.0,2,-1203.0,-3596.0,3457.0
32,83a,2106.0,2,-3033.0,-2961.0,4651.0
33,83a,2106.0,2,-4069.0,-3094.0,4378.0
34,83a,2106.0,2,-3331.0,-4414.0,4420.0
35,83a,2106.0,2,-4184.0,-4670.0,4512.0
36,83a,2106.0,2,-4168.0,-4841.0,3676.0
37,83a,2106.0,2,-1872.0,-5612.0,3635.0
