,reset_hex,reset,resolution,x,y,z
0,eaa,3754.0,3,2426.0,499.0,-612.0
1,eaa,3754.0,3,4414.0,-1201.0,4345.0
2,eaa,3754.0,3,4412.0,-1197.0,4341.0
3,eaa,3754.0,3,4410.0,-1195.0,4335.0
4,eaa,3754.0,3,4409.0,-1195.0,4329.0
5,eaa,3754.0,3,4407.0,-1197.0,4323.0
6,eaa,3754.0,3,4405.0,-1200.0,4317.0
7,eaa,3754.0,3,4403.0,-1203.0,4311.0
8,eaa,3754.0,3,4393.0,-1203.0,4297.0
9,eaa,3754.0,3,4400.0,-1193.0,4301.0
10,eaa,3754.0,3,4398.0,-1190.0,4296.0
11,eaa,3754.0,3,4397.0,-1188.0,4291.0
12,eaa,3754.0,3,4395.0,-1187.0,4286.0
13,eaa,3754.0,3,4394.0,-1186.0,4279.0
14,eab,3755.0,3,4392.0,-1186.0,4274.0
15,eab,3755.0,3,4391.0,-1187.0,4268.0
16,eab,3755.0,3,4390.0,-1186.0,4262.0
17,eab,3755.0,3,4389.0,-1184.0,4254.0
18,eab,3755.0,3,4389.0,-1183.0,4247.0
19,eab,3755.0,3,4387.0,-1178.0,4244.0
20,eab,3755.0,3,4386.0,-1174.0,4239.0
21,eab,3755.0,3,4385.0,-1172.0,4234.0
22,eab,3755.0,3,4375.0,-1170.0,4222.0
23,eab,3755.0,3,4382.0,-1160.0,4225.0
24,eab,3755.0,3,4381.0,-1155.0,4219.0
25,eab,3755.0,3,4381.0,-1151.0,4215.0
26,eab,3755.0,3,4379.0,-1150.0,4209.0
27,eab,3755.0,3,4378.0,-1151.0,4203.0
28,eab,3755.0,3,4377.0,-1149.0,4197.0
29,eab,3755.0,3,4377.0,-1148.0,4191.0
30,eab,3755.0,3,4375.0,-1146.0,4187.0
31,eab,3755.0,3,4373.0,-1143.0,4183.0
32,eab,3755.0,3,4372.0,-1141.0,4177.0
33,eab,3755.0,3,4371.0,-1140.0,4171.0
34,eab,3755.0,3,4371.0,-1139.0,4165.0
35,eac,3756.0,3,4369.0,-1139.0,4160.0
36,eac,3756.0,3,4358.0,-1141.0,4148.0
37,eac,3756.0,3,4365.0,-1135.0,4152.0
38,eac,3756.0,3,4363.0,-1135.0,4148.0
39,eac,3756.0,3,4362.0,-1136.0,4142.0
40,eac,3756.0,3,4362.0,-1135.0,4135.0
41,eac,3756.0,3,4361.0,-1135.0,4129.0
42,eac,3756.0,3,4360.0,-1137.0,4123.0
43,eac,3756.0,3,4358.0,-1136.0,4120.0
44,eac,3756.0,3,4356.0,-1138.0,4116.0
45,eac,3756.0,3,4353.0,-1139.0,4113.0
46,eac,3756.0,3,4351.0,-1141.0,4109.0
47,eac,3756.0,3,4350.0,-1143.0,4103.0
48,eac,3756.0,3,4348.0,-1144.0,4097.0
49,eac,3756.0,3,4338.0,-1148.0,4085.0
50,eac,3756.0,3,4345.0,-1146.0,4088.0
51,eac,3756.0,3,4343.0,-1147.0,4084.0
52,eac,3756.0,3,4341.0,-1146.0,4079.0
53,eac,3756.0,3,4338.0,-1144.0,4076.0
54,eac,3756.0,3,4337.0,-1141.0,4071.0
55,eac,3756.0,3,4335.0,-1142.0,4067.0
56,ead,3757.0,3,4333.0,-1142.0,4062.0
57,ead,3757.0,3,4331.0,-1143.0,4058.0
58,ead,3757.0,3,4330.0,-1142.0,4054.0
59,ead,3757.0,3,4328.0,-1140.0,4050.0
60,ead,3757.0,3,4326.0,-1140.0,4046.0
61,ead,3757.0,3,4324.0,-1142.0,4041.0
62,ead,3757.0,3,4323.0,-1142.0,4036.0
63,ead,3757.0,3,4313.0,-1145.0,4025.0
64,ead,3757.0,3,4321.0,-1138.0,4026.0
65,ead,3757.0,3,4319.0,-1136.0,4021.0
66,ead,3757.0,3,4318.0,-1135.0,4016.0
67,ead,3757.0,3,4317.0,-1135.0,4011.0
68,ead,3757.0,3,4315.0,-1135.0,4006.0
69,ead,3757.0,3,4314.0,-1137.0,4001.0
70,ead,3757.0,3,4312.0,-1139.0,3996.0
71,ead,3757.0,3,4309.0,-1141.0,3992.0
72,ead,3757.0,3,4308.0,-1143.0,3988.0
73,ead,3757.0,3,4306.0,-1144.0,3983.0
74,ead,3757.0,3,4304.0,-1145.0,3978.0
75,ead,3757.0,3,4302.0,-1145.0,3973.0
76,eae,3758.0,3,4292.0,-1149.0,3962.0
77,eae,3758.0,3,4299.0,-1147.0,3964.0
78,eae,3758.0,3,4297.0,-1150.0,3960.0
79,eae,3758.0,3,4294.0,-1152.0,3956.0
80,eae,3758.0,3,4292.0,-1150.0,3952.0
81,eae,3758.0,3,4290.0,-1147.0,3948.0
82,eae,3758.0,3,4289.0,-1142.0,3944.0
83,eae,3758.0,3,4288.0,-1137.0,3940.0
84,eae,3758.0,3,4287.0,-1133.0,3935.0
85,eae,3758.0,3,4286.0,-1130.0,3929.0
86,eae,3758.0,3,4285.0,-1126.0,3925.0
87,eae,3758.0,3,4283.0,-1122.0,3921.0
88,eae,3758.0,3,4281.0,-1118.0,3918.0
89,eae,3758.0,3,4280.0,-1113.0,3913.0
90,eae,3758.0,3,4271.0,-1110.0,3901.0
91,eae,3758.0,3,4277.0,-1102.0,3903.0
92,eae,3758.0,3,4276.0,-1095.0,3898.0
93,eae,3758.0,3,4276.0,-1087.0,3894.0
94,eae,3758.0,3,4274.0,-1081.0,3890.0
95,eae,3758.0,3,4274.0,-1068.0,3886.0
96,eae,3758.0,3,4274.0,-1054.0,3880.0
97,eaf,3759.0,3,4275.0,-1043.0,3874.0
98,eaf,3759.0,3,4275.0,-1032.0,3869.0
99,eaf,3759.0,3,4275.0,-1022.0,3863.0
100,eaf,3759.0,3,4274.0,-1016.0,3858.0
101,eaf,3759.0,3,4273.0,-1009.0,3853.0
102,eaf,3759.0,3,4272.0,-1005.0,3849.0
103,eaf,3759.0,3,4262.0,-1006.0,3837.0
104,eaf,3759.0,3,4268.0,-997.0,3841.0
