,reset_hex,reset,resolution,x,y,z
0,a37,2615.0,2,1066.0,-409.0,474.0
1,a37,2615.0,2,546.0,-4016.0,2032.0
2,a37,2615.0,2,754.0,-2861.0,1174.0
3,a37,2615.0,2,185.0,-2955.0,986.0
4,a37,2615.0,2,139.0,-2504.0,920.0
5,a37,2615.0,2,566.0,-3777.0,1825.0
6,a37,2615.0,2,1567.0,-5884.0,3062.0
7,a37,2615.0,2,1654.0,-6808.0,3237.0
8,a37,2615.0,2,1283.0,-6846.0,2361.0
9,a37,2615.0,2,353.0,-4613.0,1714.0
10,a37,2615.0,2,311.0,-5675.0,3068.0
11,a37,2615.0,2,739.0,-5890.0,2884.0
12,a38,2616.0,2,598.0,-3513.0,1070.0
13,a38,2616.0,2,452.0,-4132.0,1852.0
14,a38,2616.0,2,751.0,-5443.0,2375.0
15,a38,2616.0,2,806.0,-6321.0,3146.0
16,a38,2616.0,2,1116.0,-6244.0,2991.0
17,a38,2616.0,2,966.0,-5092.0,2457.0
18,a38,2616.0,2,-33.0,-3742.0,2062.0
19,a38,2616.0,2,71.0,-5678.0,3175.0
20,a38,2616.0,2,453.0,-5802.0,2541.0
21,a38,2616.0,2,-227.0,-3193.0,1046.0
22,a38,2616.0,2,-245.0,-3252.0,1408.0
23,a38,2616.0,2,849.0,-5302.0,3378.0
24,a38,2616.0,2,997.0,-5357.0,2844.0
25,a38,2616.0,2,-341.0,-3224.0,854.0
26,a38,2616.0,2,497.0,-5100.0,2559.0
27,a38,2616.0,2,489.0,-5805.0,3258.0
28,a38,2616.0,2,541.0,-4226.0,2386.0
29,a38,2616.0,2,837.0,-5369.0,3155.0
30,a38,2616.0,2,218.0,-6016.0,3524.0
31,a38,2616.0,2,338.0,-6308.0,3489.0
32,a38,2616.0,2,114.0,-3999.0,2087.0
33,a39,2617.0,2,97.0,-2797.0,1325.0
34,a39,2617.0,2,211.0,-3751.0,1995.0
35,a39,2617.0,2,413.0,-5068.0,2468.0
36,a39,2617.0,2,246.0,-5588.0,2311.0
37,a39,2617.0,2,260.0,-5058.0,2888.0
38,a39,2617.0,2,747.0,-5409.0,3337.0
39,a39,2617.0,2,904.0,-5473.0,3281.0
40,a39,2617.0,2,1465.0,-5297.0,3272.0
41,a39,2617.0,2,1604.0,-4621.0,2770.0
42,a39,2617.0,2,-304.0,-3432.0,603.0
43,a39,2617.0,2,902.0,-4518.0,2978.0
44,a39,2617.0,2,1676.0,-5097.0,3704.0
45,a39,2617.0,2,1478.0,-5563.0,3077.0
46,a39,2617.0,2,1371.0,-5422.0,2736.0
47,a39,2617.0,2,62.0,-3402.0,1290.0
48,a39,2617.0,2,375.0,-3223.0,1407.0
49,a39,2617.0,2,1378.0,-5326.0,3049.0
50,a39,2617.0,2,1606.0,-4967.0,3054.0
51,a39,2617.0,2,779.0,-4366.0,2812.0
52,a39,2617.0,2,794.0,-4185.0,2370.0
53,a3a,2618.0,2,1364.0,-4617.0,2837.0
54,a3a,2618.0,2,1292.0,-4544.0,2309.0
55,a3a,2618.0,2,348.0,-2621.0,740.0
56,a3a,2618.0,2,320.0,-2377.0,562.0
57,a3a,2618.0,2,665.0,-3067.0,1100.0
58,a3a,2618.0,2,965.0,-4002.0,1878.0
59,a3a,2618.0,2,984.0,-4551.0,2651.0
60,a3a,2618.0,2,1952.0,-5048.0,2332.0
61,a3a,2618.0,2,1832.0,-5483.0,2461.0
62,a3a,2618.0,2,1239.0,-4055.0,1925.0
63,a3a,2618.0,2,1632.0,-4312.0,2748.0
64,a3a,2618.0,2,1580.0,-5011.0,2231.0
65,a3a,2618.0,2,967.0,-3807.0,1239.0
66,a3a,2618.0,2,440.0,-2441.0,703.0
67,a3a,2618.0,2,996.0,-3387.0,1691.0
68,a3a,2618.0,2,2013.0,-4140.0,2619.0
69,a3a,2618.0,2,1911.0,-3453.0,2423.0
70,a3a,2618.0,2,935.0,-2247.0,1254.0
71,a3a,2618.0,2,1221.0,-2017.0,1380.0
72,a3a,2618.0,2,1687.0,-3337.0,1161.0
73,a3a,2618.0,2,1823.0,-4314.0,1464.0
74,a3b,2619.0,2,2640.0,-4597.0,2567.0
75,a3b,2619.0,2,2292.0,-5363.0,2387.0
76,a3b,2619.0,2,2493.0,-5442.0,2496.0
77,a3b,2619.0,2,2812.0,-5158.0,2481.0
78,a3b,2619.0,2,1318.0,-3637.0,1868.0
79,a3b,2619.0,2,418.0,-2795.0,1647.0
80,a3b,2619.0,2,1701.0,-5279.0,2014.0
81,a3b,2619.0,2,260.0,-3408.0,1163.0
82,a3b,2619.0,2,1057.0,-4770.0,1916.0
83,a3b,2619.0,2,594.0,-4723.0,1631.0
84,a3b,2619.0,2,1349.0,-4835.0,1916.0
85,a3b,2619.0,2,2055.0,-5554.0,1908.0
86,a3b,2619.0,2,808.0,-4000.0,1475.0
87,a3b,2619.0,2,180.0,-3530.0,834.0
88,a3b,2619.0,2,1659.0,-5170.0,1802.0
89,a3b,2619.0,2,1392.0,-4810.0,2282.0
90,a3b,2619.0,2,1025.0,-5886.0,1854.0
91,a3b,2619.0,2,2040.0,-5350.0,2575.0
92,a3b,2619.0,2,1994.0,-4901.0,2324.0
93,a3b,2619.0,2,648.0,-2680.0,243.0
94,a3c,2620.0,2,1794.0,-5605.0,1433.0
95,a3c,2620.0,2,2120.0,-6258.0,1332.0
